


  RMIN =  .750  MAXV   = 10  BE =   14.9340
  RMAX = 3.500  KDMAXV = 10  RE =    1.1021
  DELR =  .005  NEIG   =  0  DE =25000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .780 TO   2.375 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           26170.980          .7550           25150.580          .7600           24160.320
          .7650           23199.520          .7700           22267.490          .7750           21363.560
          .7800           19966.290          .7850           19645.380          .7900           19289.230
          .7950           18896.890          .8000           18469.640          .8050           18009.240
          .8100           17518.030          .8150           16999.740          .8200           16458.630
          .8250           15899.070          .8300           15325.820          .8350           14743.060
          .8400           14155.350          .8450           13566.190          .8500           12978.990
          .8550           12396.840          .8600           11822.140          .8650           11257.000
          .8700           10703.080          .8750           10161.690          .8800            9634.124
          .8850            9121.177          .8900            8623.371          .8950            8141.310
          .9000            7675.210          .9050            7225.301          .9100            6791.630
          .9150            6374.255          .9200            5973.072          .9250            5587.941
          .9300            5218.737          .9350            4865.208          .9400            4527.063
          .9450            4204.124          .9500            3896.038          .9550            3602.540
          .9600            3323.275          .9650            3057.949          .9700            2806.227
          .9750            2567.774          .9800            2342.241          .9850            2129.322
          .9900            1928.676          .9950            1739.965         1.0000            1562.862
         1.0050            1397.041         1.0100            1242.195         1.0150            1098.005
         1.0200             964.161         1.0250             840.360         1.0300             726.305
         1.0350             621.704         1.0400             526.272         1.0450             439.729
         1.0500             361.801         1.0550             292.221         1.0600             230.882
         1.0650             177.311         1.0700             131.272         1.0750              92.533
         1.0800              60.867         1.0850              36.050         1.0900              17.864
         1.0950               6.096         1.1000                .534         1.1050                .975
         1.1100               7.218         1.1150              19.066         1.1200              36.329
         1.1250              58.818         1.1300              86.351         1.1350             118.751
         1.1400             155.843         1.1450             197.458         1.1500             243.432
         1.1550             293.604         1.1600             347.819         1.1650             405.925
         1.1700             467.775         1.1750             533.228         1.1800             602.146
         1.1850             674.395         1.1900             749.846         1.1950             828.376
         1.2000             909.856         1.2050             994.156         1.2100            1081.165
         1.2150            1170.771         1.2200            1262.862         1.2250            1357.332
         1.2300            1454.079         1.2350            1552.995         1.2400            1653.984
         1.2450            1756.951         1.2500            1861.800         1.2550            1968.443
         1.2600            2076.790         1.2650            2186.760         1.2700            2298.272
         1.2750            2411.242         1.2800            2525.591         1.2850            2641.241
         1.2900            2758.121         1.2950            2876.159         1.3000            2995.286
         1.3050            3115.438         1.3100            3236.542         1.3150            3358.546
         1.3200            3481.385         1.3250            3604.994         1.3300            3729.316
         1.3350            3854.295         1.3400            3979.878         1.3450            4106.019
         1.3500            4232.663         1.3550            4359.755         1.3600            4487.258
         1.3650            4615.119         1.3700            4743.296         1.3750            4871.743
         1.3800            5000.414         1.3850            5129.263         1.3900            5258.257
         1.3950            5387.374         1.4000            5516.561         1.4050            5645.786
         1.4100            5775.015         1.4150            5904.216         1.4200            6033.353
1
         1.4250            6162.391         1.4300            6291.322         1.4350            6420.092
         1.4400            6548.662         1.4450            6677.027         1.4500            6805.174
         1.4550            6933.076         1.4600            7060.697         1.4650            7187.990
         1.4700            7314.947         1.4750            7441.560         1.4800            7567.802
         1.4850            7693.657         1.4900            7819.101         1.4950            7944.116
         1.5000            8068.687         1.5050            8192.814         1.5100            8316.447
         1.5150            8439.546         1.5200            8562.141         1.5250            8684.239
         1.5300            8805.822         1.5350            8926.848         1.5400            9047.248
         1.5450            9167.106         1.5500            9286.368         1.5550            9405.014
         1.5600            9523.048         1.5650            9640.473         1.5700            9757.279
         1.5750            9873.453         1.5800            9988.966         1.5850           10103.800
         1.5900           10217.980         1.5950           10331.490         1.6000           10444.340
         1.6050           10556.510         1.6100           10667.990         1.6150           10778.780
         1.6200           10888.790         1.6250           10998.150         1.6300           11106.820
         1.6350           11214.780         1.6400           11321.980         1.6450           11428.440
         1.6500           11534.170         1.6550           11639.230         1.6600           11743.530
         1.6650           11847.080         1.6700           11949.890         1.6750           12051.980
         1.6800           12153.330         1.6850           12253.940         1.6900           12353.790
         1.6950           12452.860         1.7000           12551.230         1.7050           12648.840
         1.7100           12745.710         1.7150           12841.820         1.7200           12937.190
         1.7250           13031.800         1.7300           13125.680         1.7350           13218.790
         1.7400           13311.130         1.7450           13402.790         1.7500           13493.720
         1.7550           13583.900         1.7600           13673.310         1.7650           13761.960
         1.7700           13849.870         1.7750           13937.090         1.7800           14023.570
         1.7850           14109.270         1.7900           14194.240         1.7950           14278.500
         1.8000           14362.060         1.8050           14444.910         1.8100           14527.040
         1.8150           14608.390         1.8200           14689.000         1.8250           14768.970
         1.8300           14848.240         1.8350           14926.790         1.8400           15004.620
         1.8450           15081.740         1.8500           15158.150         1.8550           15233.880
         1.8600           15308.980         1.8650           15383.360         1.8700           15457.050
         1.8750           15530.060         1.8800           15602.380         1.8850           15674.030
         1.8900           15745.000         1.8950           15815.300         1.9000           15884.960
         1.9050           15953.960         1.9100           16022.310         1.9150           16090.010
         1.9200           16157.070         1.9250           16223.500         1.9300           16289.290
         1.9350           16354.440         1.9400           16418.960         1.9450           16482.840
         1.9500           16546.090         1.9550           16608.780         1.9600           16670.810
         1.9650           16732.210         1.9700           16793.020         1.9750           16853.240
         1.9800           16912.870         1.9850           16971.920         1.9900           17030.380
         1.9950           17088.230         2.0000           17145.490         2.0050           17202.230
         2.0100           17258.400         2.0150           17313.980         2.0200           17369.010
         2.0250           17423.460         2.0300           17477.370         2.0350           17530.710
         2.0400           17583.510         2.0450           17635.750         2.0500           17687.520
         2.0550           17738.770         2.0600           17789.460         2.0650           17839.590
         2.0700           17889.210         2.0750           17938.320         2.0800           17986.940
         2.0850           18035.070         2.0900           18082.700         2.0950           18129.820
1
         2.1000           18176.410         2.1050           18222.490         2.1100           18268.140
         2.1150           18313.330         2.1200           18358.040         2.1250           18402.270
         2.1300           18446.000         2.1350           18489.240         2.1400           18532.020
         2.1450           18574.350         2.1500           18616.260         2.1550           18657.810
         2.1600           18698.890         2.1650           18739.470         2.1700           18779.580
         2.1750           18819.250         2.1800           18858.520         2.1850           18897.380
         2.1900           18935.850         2.1950           18973.920         2.2000           19011.580
         2.2050           19048.810         2.2100           19085.580         2.2150           19121.880
         2.2200           19157.900         2.2250           19193.520         2.2300           19228.750
         2.2350           19263.600         2.2400           19298.060         2.2450           19332.150
         2.2500           19365.860         2.2550           19399.200         2.2600           19432.170
         2.2650           19464.770         2.2700           19497.000         2.2750           19528.870
         2.2800           19560.330         2.2850           19591.470         2.2900           19622.320
         2.2950           19652.850         2.3000           19683.050         2.3050           19712.890
         2.3100           19742.390         2.3150           19771.520         2.3200           19800.310
         2.3250           19828.770         2.3300           19856.900         2.3350           19884.740
         2.3400           19912.310         2.3450           19939.630         2.3500           19966.580
         2.3550           19993.210         2.3600           20019.550         2.3650           20045.580
         2.3700           20071.300         2.3750           20096.730         2.3800           20122.210
         2.3850           20147.480         2.3900           20172.630         2.3950           20197.660
         2.4000           20222.560         2.4050           20247.340         2.4100           20272.010
