


  RMIN =  .750  MAXV   = 10  BE =   12.6450
  RMAX = 3.500  KDMAXV = 10  RE =    1.1977
  DELR =  .005  NEIG   =  0  DE =20000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.250 TO   2.545 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500            4097.691          .7550            4031.036          .7600            3964.483
          .7650            3898.040          .7700            3831.716          .7750            3765.519
          .7800            3699.457          .7850            3633.539          .7900            3567.775
          .7950            3502.174          .8000            3436.744          .8050            3371.496
          .8100            3306.439          .8150            3241.582          .8200            3176.937
          .8250            3112.513          .8300            3048.320          .8350            2984.369
          .8400            2920.672          .8450            2857.238          .8500            2794.079
          .8550            2731.207          .8600            2668.633          .8650            2606.369
          .8700            2544.427          .8750            2482.819          .8800            2421.558
          .8850            2360.656          .8900            2300.126          .8950            2239.981
          .9000            2180.236          .9050            2120.902          .9100            2061.995
          .9150            2003.528          .9200            1945.515          .9250            1887.972
          .9300            1830.912          .9350            1774.352          .9400            1718.306
          .9450            1662.790          .9500            1607.820          .9550            1553.412
          .9600            1499.583          .9650            1446.349          .9700            1393.727
          .9750            1341.735          .9800            1290.390          .9850            1239.710
          .9900            1189.713          .9950            1140.418         1.0000            1091.844
         1.0050            1044.010         1.0100             996.935         1.0150             950.639
         1.0200             905.142         1.0250             860.465         1.0300             816.628
         1.0350             773.653         1.0400             731.561         1.0450             690.374
         1.0500             650.114         1.0550             610.805         1.0600             572.467
         1.0650             535.126         1.0700             498.805         1.0750             463.528
         1.0800             429.319         1.0850             396.204         1.0900             364.207
         1.0950             333.355         1.1000             303.674         1.1050             275.190
         1.1100             247.931         1.1150             221.923         1.1200             197.195
         1.1250             173.775         1.1300             151.692         1.1350             130.975
         1.1400             111.654         1.1450              93.759         1.1500              77.321
         1.1550              62.371         1.1600              48.941         1.1650              37.063
         1.1700              26.770         1.1750              18.095         1.1800              11.072
         1.1850               5.736         1.1900               2.120         1.1950                .261
         1.2000                .194         1.2050               1.957         1.2100               5.586
         1.2150              11.119         1.2200              18.594         1.2250              28.051
         1.2300              39.528         1.2350              53.066         1.2400              68.707
         1.2450              86.490         1.2500             108.189         1.2550             128.649
         1.2600             150.648         1.2650             174.141         1.2700             199.084
         1.2750             225.438         1.2800             253.163         1.2850             282.224
         1.2900             312.587         1.2950             344.224         1.3000             377.104
         1.3050             411.204         1.3100             446.500         1.3150             482.972
         1.3200             520.601         1.3250             559.333         1.3300             599.118
         1.3350             639.958         1.3400             681.829         1.3450             724.708
         1.3500             768.573         1.3550             813.400         1.3600             859.171
         1.3650             905.863         1.3700             953.457         1.3750            1001.933
         1.3800            1051.274         1.3850            1101.462         1.3900            1152.478
         1.3950            1204.307         1.4000            1256.932         1.4050            1310.330
         1.4100            1364.495         1.4150            1419.408         1.4200            1475.055
1
         1.4250            1531.419         1.4300            1588.487         1.4350            1646.244
         1.4400            1704.677         1.4450            1763.773         1.4500            1823.517
         1.4550            1883.900         1.4600            1944.910         1.4650            2006.534
         1.4700            2068.757         1.4750            2131.570         1.4800            2194.961
         1.4850            2258.918         1.4900            2323.432         1.4950            2388.490
         1.5000            2454.083         1.5050            2520.202         1.5100            2586.834
         1.5150            2653.972         1.5200            2721.604         1.5250            2789.720
         1.5300            2858.310         1.5350            2927.368         1.5400            2996.885
         1.5450            3066.854         1.5500            3137.265         1.5550            3208.108
         1.5600            3279.373         1.5650            3351.047         1.5700            3423.123
         1.5750            3495.607         1.5800            3568.476         1.5850            3641.725
         1.5900            3715.349         1.5950            3789.342         1.6000            3863.697
         1.6050            3938.404         1.6100            4013.455         1.6150            4088.840
         1.6200            4164.561         1.6250            4240.604         1.6300            4316.955
         1.6350            4393.613         1.6400            4470.579         1.6450            4547.848
