


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .4000           54661.660          .4050           53457.870          .4100           52275.810
          .4150           51115.140          .4200           49975.530          .4250           48856.650
          .4300           47758.170          .4350           46679.780          .4400           45621.160
          .4450           44582.010          .4500           43562.010          .4550           42560.870
          .4600           41578.290          .4650           40613.970          .4700           39667.630
          .4750           38738.990          .4800           37827.760          .4850           36933.680
          .4900           36056.470          .4950           35195.860          .5000           34351.590
          .5050           33523.400          .5100           32711.040          .5150           31914.250
          .5200           31132.790          .5250           30366.410          .5300           29614.880
          .5350           28877.940          .5400           28155.380          .5450           27446.960
          .5500           26752.460          .5550           26071.650          .5600           25404.310
          .5650           24750.230          .5700           24109.190          .5750           23480.980
          .5800           22865.390          .5850           22262.230          .5900           21671.290
          .5950           21092.370          .6000           20525.280          .6050           19969.830
          .6100           19425.820          .6150           18893.070          .6200           18371.400
          .6250           17860.630          .6300           17360.580          .6350           16871.060
          .6400           15930.070          .6450           15920.140          .6500           15909.100
          .6550           15896.810          .6600           15883.140          .6650           15867.930
          .6700           15851.060          .6750           15832.350          .6800           15811.610
          .6850           15788.640          .6900           15763.190          .6950           15735.000
          .7000           15703.830          .7050           15669.400          .7100           15631.350
          .7150           15589.350          .7200           15543.000          .7250           15491.870
          .7300           15435.630          .7350           15373.660          .7400           15305.490
          .7450           15230.610          .7500           15148.430          .7550           15058.310
          .7600           14959.580          .7650           14851.600          .7700           14733.790
          .7750           14605.280          .7800           14465.510          .7850           14313.780
          .7900           14149.440          .7950           13971.930          .8000           13780.650
          .8050           13575.280          .8100           13355.460          .8150           13121.080
          .8200           12871.960          .8250           12608.420          .8300           12330.720
          .8350           12039.310          .8400           11735.080          .8450           11418.780
          .8500           11091.250          .8550           10754.010          .8600           10408.120
          .8650           10055.120          .8700            9696.324          .8750            9333.139
          .8800            8967.125          .8850            8599.795          .8900            8232.369
          .8950            7866.267          .9000            7502.606          .9050            7142.689
          .9100            6787.521          .9150            6437.979          .9200            6095.062
          .9250            5759.393          .9300            5431.728          .9350            5112.602
          .9400            4802.519          .9450            4501.874          .9500            4210.983
          .9550            3930.147          .9600            3659.542          .9650            3399.353
          .9700            3149.647          .9750            2910.485          .9800            2681.882
          .9850            2463.822          .9900            2256.241          .9950            2059.060
         1.0000            1872.177         1.0050            1695.465         1.0100            1528.783
         1.0150            1371.972         1.0200            1224.857         1.0250            1087.257
