


  RMIN =  .750  MAXV   = 12  BE =   17.3580
  RMAX = 3.500  KDMAXV = 12  RE =    1.0123
  DELR =  .005  NEIG   =  0  DE =35000.0000
  ZMU  =  .948


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .880 TO   2.120 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           17990.890          .7550           17118.410          .7600           16276.220
          .7650           15463.580          .7700           14679.770          .7750           13924.060
          .7800           13195.760          .7850           12494.190          .7900           11818.690
          .7950           11168.590          .8000           10543.260          .8050            9942.078
          .8100            9364.437          .8150            8809.738          .8200            8277.401
          .8250            7766.856          .8300            7277.545          .8350            6808.925
          .8400            6360.464          .8450            5931.642          .8500            5521.951
          .8550            5130.895          .8600            4757.987          .8650            4402.754
          .8700            4064.731          .8750            3743.467          .8800            3446.993
          .8850            3149.370          .8900            2868.900          .8950            2604.949
          .9000            2356.919          .9050            2124.247          .9100            1906.395
          .9150            1702.844          .9200            1513.105          .9250            1336.715
          .9300            1173.222          .9350            1022.196          .9400             883.218
          .9450             755.888          .9500             639.817          .9550             534.632
          .9600             439.977          .9650             355.508          .9700             280.997
          .9750             216.032          .9800             160.181          .9850             113.158
          .9900              74.680          .9950              44.471         1.0000              22.260
         1.0050               7.783         1.0100                .781         1.0150               1.000
         1.0200               8.193         1.0250              22.117         1.0300              42.537
         1.0350              69.223         1.0400             101.950         1.0450             140.499
         1.0500             184.657         1.0550             234.217         1.0600             288.976
         1.0650             348.740         1.0700             413.319         1.0750             482.529
         1.0800             556.188         1.0850             634.126         1.0900             716.175
         1.0950             802.174         1.1000             891.967         1.1050             985.398
         1.1100            1082.302         1.1150            1182.536         1.1200            1285.961
         1.1250            1392.439         1.1300            1501.836         1.1350            1614.020
         1.1400            1728.866         1.1450            1846.248         1.1500            1966.047
         1.1550            2088.144         1.1600            2212.425         1.1650            2338.786
         1.1700            2467.122         1.1750            2597.327         1.1800            2729.300
         1.1850            2862.942         1.1900            2998.159         1.1950            3134.860
         1.2000            3272.960         1.2050            3412.366         1.2100            3553.000
         1.2150            3694.789         1.2200            3837.648         1.2250            3981.495
         1.2300            4126.255         1.2350            4271.859         1.2400            4418.246
         1.2450            4565.244         1.2500            4711.781         1.2550            4859.414
