


  RMIN =  .750  MAXV   =  7  BE =    7.4664
  RMAX = 3.500  KDMAXV =  7  RE =    1.5238
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .973


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.045 TO   2.960 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           32010.090          .7550           31401.260          .7600           30801.550
          .7650           30210.850          .7700           29629.050          .7750           29056.040
          .7800           28491.710          .7850           27935.950          .7900           27388.650
          .7950           26849.710          .8000           26319.020          .8050           25796.490
          .8100           25282.000          .8150           24775.470          .8200           24276.790
          .8250           23785.850          .8300           23302.570          .8350           22826.850
          .8400           22358.600          .8450           21897.710          .8500           21444.100
          .8550           20997.680          .8600           20558.350          .8650           20126.030
          .8700           19700.630          .8750           19282.050          .8800           18870.220
          .8850           18465.040          .8900           18066.450          .8950           17674.340
          .9000           17288.640          .9050           16909.260          .9100           16536.130
          .9150           16169.170          .9200           15808.300          .9250           15453.430
          .9300           15104.500          .9350           14761.430          .9400           14424.140
          .9450           14092.550          .9500           13766.600          .9550           13446.220
          .9600           13131.320          .9650           12821.850          .9700           12517.720
          .9750           12218.880          .9800           11925.250          .9850           11636.760
          .9900           11353.350          .9950           11074.960         1.0000           10801.510
         1.0050           10532.950         1.0100           10269.210         1.0150           10010.220
         1.0200            9755.929         1.0250            9506.271         1.0300            9261.186
         1.0350            9020.613         1.0400            8784.494         1.0450            8349.963
         1.0500            8324.559         1.0550            8297.496         1.0600            8268.662
         1.0650            8237.968         1.0700            8205.346         1.0750            8170.652
         1.0800            8133.747         1.0850            8094.549         1.0900            8052.941
         1.0950            8008.773         1.1000            7961.935         1.1050            7912.300
         1.1100            7859.725         1.1150            7804.074         1.1200            7745.237
         1.1250            7683.029         1.1300            7617.375         1.1350            7548.165
         1.1400            7475.238         1.1450            7398.484         1.1500            7317.798
         1.1550            7233.125         1.1600            7144.356         1.1650            7051.401
         1.1700            6954.275         1.1750            6852.911         1.1800            6747.273
         1.1850            6637.417         1.1900            6523.323         1.1950            6405.150
         1.2000            6282.947         1.2050            6156.782         1.2100            6026.855
         1.2150            5893.327         1.2200            5756.392         1.2250            5616.248
         1.2300            5473.228         1.2350            5327.481         1.2400            5179.408
         1.2450            5029.241         1.2500            4877.370         1.2550            4724.012
         1.2600            4569.660         1.2650            4414.524         1.2700            4259.014
         1.2750            4103.429         1.2800            3948.160         1.2850            3793.491
         1.2900            3639.755         1.2950            3487.239         1.3000            3336.268
         1.3050            3187.103         1.3100            3040.012         1.3150            2895.223
         1.3200            2752.975         1.3250            2613.478         1.3300            2476.910
         1.3350            2343.471         1.3400            2213.294         1.3450            2086.510
         1.3500            1963.260         1.3550            1843.647         1.3600            1727.754
         1.3650            1615.656         1.3700            1507.418         1.3750            1403.085
         1.3800            1302.694         1.3850            1206.274         1.3900            1113.838
         1.3950            1025.387         1.4000             940.919         1.4050             860.422
         1.4100             783.878         1.4150             711.261         1.4200             642.536
1
         1.4250             577.664         1.4300             516.589         1.4350             459.285
         1.4400             405.703         1.4450             355.781         1.4500             309.452
         1.4550             266.652         1.4600             227.315         1.4650             191.374
         1.4700             158.763         1.4750             129.413         1.4800             103.258
         1.4850              80.228         1.4900              60.254         1.4950              43.266
         1.5000              29.195         1.5050              17.970         1.5100               9.520
         1.5150               3.772         1.5200                .655         1.5250                .095
         1.5300               2.020         1.5350               6.355         1.5400              13.025
         1.5450              21.956         1.5500              33.072         1.5550              46.298
         1.5600              61.556         1.5650              78.769         1.5700              97.859
         1.5750             118.749         1.5800             141.359         1.5850             165.611
         1.5900             191.530         1.5950             219.345         1.6000             248.721
         1.6050             279.601         1.6100             311.928         1.6150             345.648
         1.6200             380.706         1.6250             417.051         1.6300             454.628
         1.6350             493.389         1.6400             533.284         1.6450             574.263
         1.6500             616.281         1.6550             659.292         1.6600             703.249
         1.6650             748.110         1.6700             793.832         1.6750             840.374
         1.6800             887.695         1.6850             935.754         1.6900             984.513
         1.6950            1033.935         1.7000            1083.983         1.7050            1134.622
         1.7100            1185.816         1.7150            1237.531         1.7200            1289.736
         1.7250            1342.398         1.7300            1395.486         1.7350            1448.970
         1.7400            1502.823         1.7450            1557.015         1.7500            1611.518
         1.7550            1666.302         1.7600            1721.346         1.7650            1776.624
         1.7700            1832.109         1.7750            1887.779         1.7800            1943.609
         1.7850            1999.577         1.7900            2055.663         1.7950            2111.846
         1.8000            2168.108         1.8050            2224.430         1.8100            2280.785
         1.8150            2337.154         1.8200            2393.528         1.8250            2449.887
         1.8300            2506.216         1.8350            2562.497         1.8400            2618.714
         1.8450            2674.853         1.8500            2730.899         1.8550            2786.838
         1.8600            2842.657         1.8650            2898.348         1.8700            2953.893
         1.8750            3009.276         1.8800            3064.490         1.8850            3119.523
         1.8900            3174.366         1.8950            3229.009         1.9000            3283.442
         1.9050            3337.656         1.9100            3391.639         1.9150            3445.383
         1.9200            3498.883         1.9250            3552.129         1.9300            3605.111
         1.9350            3657.823         1.9400            3710.260         1.9450            3762.415
         1.9500            3814.282         1.9550            3865.856         1.9600            3917.129
         1.9650            3968.095         1.9700            4018.746         1.9750            4069.080
         1.9800            4119.099         1.9850            4168.796         1.9900            4218.163
         1.9950            4267.196         2.0000            4315.891         2.0050            4364.243
         2.0100            4412.252         2.0150            4459.914         2.0200            4507.233
         2.0250            4554.208         2.0300            4600.800         2.0350            4647.050
         2.0400            4692.955         2.0450            4738.502         2.0500            4783.688
         2.0550            4828.506         2.0600            4872.956         2.0650            4917.034
         2.0700            4960.746         2.0750            5004.094         2.0800            5047.081
         2.0850            5089.705         2.0900            5131.952         2.0950            5173.831
1
         2.1000            5215.337         2.1050            5256.477         2.1100            5297.246
         2.1150            5337.649         2.1200            5377.684         2.1250            5417.353
         2.1300            5456.651         2.1350            5495.583         2.1400            5534.139
         2.1450            5572.327         2.1500            5610.152         2.1550            5647.619
         2.1600            5684.724         2.1650            5721.470         2.1700            5757.854
         2.1750            5793.880         2.1800            5829.546         2.1850            5864.855
         2.1900            5899.805         2.1950            5934.399         2.2000            5968.645
         2.2050            6002.542         2.2100            6036.086         2.2150            6069.280
         2.2200            6102.130         2.2250            6134.635         2.2300            6166.802
         2.2350            6198.629         2.2400            6230.121         2.2450            6261.276
         2.2500            6292.098         2.2550            6322.582         2.2600            6352.732
         2.2650            6382.544         2.2700            6412.039         2.2750            6441.217
         2.2800            6470.079         2.2850            6498.623         2.2900            6526.852
         2.2950            6554.764         2.3000            6582.363         2.3050            6609.648
         2.3100            6636.626         2.3150            6663.295         2.3200            6689.663
         2.3250            6715.729         2.3300            6741.509         2.3350            6766.990
         2.3400            6792.168         2.3450            6817.053         2.3500            6841.645
         2.3550            6865.953         2.3600            6889.978         2.3650            6913.725
         2.3700            6937.196         2.3750            6960.394         2.3800            6983.317
         2.3850            7005.971         2.3900            7028.353         2.3950            7050.462
         2.4000            7072.304         2.4050            7093.894         2.4100            7115.223
         2.4150            7136.294         2.4200            7157.110         2.4250            7177.674
         2.4300            7197.986         2.4350            7218.052         2.4400            7237.872
         2.4450            7257.450         2.4500            7276.787         2.4550            7295.888
         2.4600            7314.755         2.4650            7333.389         2.4700            7351.794
         2.4750            7369.973         2.4800            7387.928         2.4850            7405.657
         2.4900            7423.163         2.4950            7440.447         2.5000            7457.515
         2.5050            7474.367         2.5100            7491.007         2.5150            7507.437
         2.5200            7523.661         2.5250            7539.679         2.5300            7555.495
         2.5350            7571.110         2.5400            7586.527         2.5450            7601.747
         2.5500            7616.772         2.5550            7631.603         2.5600            7646.243
         2.5650            7660.705         2.5700            7674.981         2.5750            7689.070
         2.5800            7702.977         2.5850            7716.702         2.5900            7730.248
         2.5950            7743.618         2.6000            7756.814         2.6050            7769.840
         2.6100            7782.696         2.6150            7795.386         2.6200            7807.909
         2.6250            7820.270         2.6300            7832.469         2.6350            7844.508
         2.6400            7856.388         2.6450            7868.112         2.6500            7879.679
         2.6550            7891.093         2.6600            7902.358         2.6650            7913.474
         2.6700            7924.442         2.6750            7935.264         2.6800            7945.942
         2.6850            7956.479         2.6900            7966.876         2.6950            7977.135
         2.7000            7987.257         2.7050            7997.246         2.7100            8007.102
         2.7150            8016.826         2.7200            8026.420         2.7250            8035.887
         2.7300            8045.227         2.7350            8054.440         2.7400            8063.531
         2.7450            8072.498         2.7500            8081.343         2.7550            8090.067
         2.7600            8098.672         2.7650            8107.160         2.7700            8115.538
1
         2.7750            8123.803         2.7800            8131.957         2.7850            8140.001
         2.7900            8147.937         2.7950            8155.764         2.8000            8163.484
         2.8050            8171.100         2.8100            8178.611         2.8150            8186.019
         2.8200            8193.325         2.8250            8200.530         2.8300            8207.637
         2.8350            8214.646         2.8400            8221.558         2.8450            8228.375
         2.8500            8235.100         2.8550            8241.731         2.8600            8248.272
         2.8650            8254.726         2.8700            8261.091         2.8750            8267.371
         2.8800            8273.567         2.8850            8279.681         2.8900            8285.713
         2.8950            8291.654         2.9000            8297.513         2.9050            8303.290
         2.9100            8308.986         2.9150            8314.604         2.9200            8320.145
         2.9250            8325.607         2.9300            8330.994         2.9350            8336.307
         2.9400            8341.546         2.9450            8346.713         2.9500            8351.809
         2.9550            8356.836         2.9600            8361.794         2.9650            8366.817
         2.9700            8371.807         2.9750            8376.793         2.9800            8381.778
         2.9850            8386.762         2.9900            8391.743         2.9950            8396.723
         3.0000            8401.701         3.0050            8406.678         3.0100            8411.652
         3.0150            8416.625         3.0200            8421.597         3.0250            8426.566
         3.0300            8431.534         3.0350            8436.501         3.0400            8441.465
         3.0450            8446.428         3.0500            8451.390         3.0550            8456.349
         3.0600            8461.307         3.0650            8466.263         3.0700            8471.217
         3.0750            8476.169         3.0800            8481.120         3.0850            8486.069
         3.0900            8491.017         3.0950            8495.962         3.1000            8500.906
         3.1050            8505.849         3.1100            8510.789         3.1150            8515.728
         3.1200            8520.665         3.1250            8525.601         3.1300            8530.534
         3.1350            8535.466         3.1400            8540.396         3.1450            8545.324
         3.1500            8550.251         3.1550            8555.176         3.1600            8560.100
         3.1650            8565.021         3.1700            8569.940         3.1750            8574.858
         3.1800            8579.775         3.1850            8584.689         3.1900            8589.603
         3.1950            8594.514         3.2000            8599.423         3.2050            8604.331
         3.2100            8609.237         3.2150            8614.141         3.2200            8619.044
         3.2250            8623.944         3.2300            8628.843         3.2350            8633.740
         3.2400            8638.636         3.2450            8643.530         3.2500            8648.422
         3.2550            8653.313         3.2600            8658.201         3.2650            8663.088
         3.2700            8667.973         3.2750            8672.855         3.2800            8677.737
         3.2850            8682.617         3.2900            8687.495         3.2950            8692.372
         3.3000            8697.246         3.3050            8702.119         3.3100            8706.990
         3.3150            8711.859         3.3200            8716.728         3.3250            8721.593
         3.3300            8726.457         3.3350            8731.319         3.3400            8736.180
         3.3450            8741.039         3.3500            8745.896         3.3550            8750.751
         3.3600            8755.605         3.3650            8760.457         3.3700            8765.307
         3.3750            8770.155         3.3800            8775.002         3.3850            8779.847
         3.3900            8784.689         3.3950            8789.531         3.4000            8794.370
         3.4050            8799.208         3.4100            8804.044         3.4150            8808.879
         3.4200            8813.711         3.4250            8818.542         3.4300            8823.371
         3.4350            8828.198         3.4400            8833.023         3.4450            8837.847
1
         3.4500            8842.669         3.4550            8847.489         3.4600            8852.308
         3.4650            8857.124         3.4700            8861.938         3.4750            8866.752
         3.4800            8871.563         3.4850            8876.373         3.4900            8881.181
         3.4950            8885.986         3.5000            8890.791
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1   7.4664         7.4664       .0000               .0000         .0000       .0000      1.5238      1.5238
    0   7.3080         7.2942       .0138            893.1235      904.6600    -11.5365      1.4022      1.6818
    1   6.9724         6.9497       .0227           2549.1630     2565.2100    -16.0469      1.3268      1.8352
    2   6.6375         6.6052       .0323           4007.8460     4027.4100    -19.5637      1.2774      1.9709
    3   6.3002         6.2607       .0395           5269.7380     5291.2600    -21.5215      1.2362      2.1093
    4   5.9461         5.9162       .0299           6336.2420     6356.7600    -20.5176      1.1970      2.2607
    5   5.5297         5.5717      -.0420           7209.7220     7223.9100    -14.1880      1.1555      2.4365
    6   4.9443         5.2272      -.2829           7892.7060     7892.7100      -.0039      1.1069      2.6557
    7   4.1188         4.8827      -.7639           8387.2760     8363.1600     24.1162      1.0423      2.9614
  NOISE FACTOR HAS MAXIMUM VALUE OF    .12E-09



  RMIN =  .750  MAXV   = 12  BE =    7.4996
  RMAX = 3.500  KDMAXV = 12  RE =    1.5204
  DELR =  .005  NEIG   =  0  DE =25692.9700
  ZMU  =  .973


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.090 TO   2.725 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500          113634.600          .7550          111192.400          .7600          108794.300
          .7650          106439.600          .7700          104127.700          .7750          101857.800
          .7800           99629.230          .7850           97441.380          .7900           95293.580
          .7950           93185.170          .8000           91115.540          .8050           89084.040
          .8100           87090.070          .8150           85133.020          .8200           83212.300
          .8250           81327.330          .8300           79477.510          .8350           77662.280
          .8400           75881.090          .8450           74133.370          .8500           72418.590
          .8550           70736.210          .8600           69085.710          .8650           67466.560
          .8700           65878.260          .8750           64320.300          .8800           62792.180
          .8850           61293.430          .8900           59823.560          .8950           58382.090
          .9000           56968.560          .9050           55582.520          .9100           54223.510
          .9150           52891.080          .9200           51584.810          .9250           50304.250
          .9300           49048.990          .9350           47818.610          .9400           46612.700
          .9450           45430.840          .9500           44272.650          .9550           43137.730
          .9600           42025.700          .9650           40936.170          .9700           39868.770
          .9750           38823.130          .9800           37798.900          .9850           36795.700
          .9900           35813.200          .9950           34851.040         1.0000           33908.880
         1.0050           32986.390         1.0100           32083.230         1.0150           31199.090
         1.0200           30333.640         1.0250           29486.570         1.0300           28657.560
         1.0350           27846.320         1.0400           27052.530         1.0450           26275.910
         1.0500           25516.170         1.0550           24773.010         1.0600           24046.150
         1.0650           23335.320         1.0700           22640.250         1.0750           21960.650
         1.0800           21296.280         1.0850           20646.860         1.0900           19841.420
         1.0950           19395.030         1.1000           18942.950         1.1050           18485.840
         1.1100           18025.130         1.1150           17561.990         1.1200           17097.160
         1.1250           16631.900         1.1300           16166.980         1.1350           15703.730
         1.1400           15242.610         1.1450           14784.630         1.1500           14330.500
         1.1550           13880.980         1.1600           13436.410         1.1650           12997.750
         1.1700           12565.170         1.1750           12139.280         1.1800           11720.310
         1.1850           11308.750         1.1900           10904.730         1.1950           10508.680
         1.2000           10120.620         1.2050            9740.821         1.2100            9369.218
         1.2150            9006.205         1.2200            8651.632         1.2250            8305.636
         1.2300            7968.263         1.2350            7639.328         1.2400            7319.059
         1.2450            7007.279         1.2500            6703.895         1.2550            6409.002
         1.2600            6122.407         1.2650            5844.073         1.2700            5573.905
         1.2750            5311.821         1.2800            5057.714         1.2850            4811.474
         1.2900            4572.978         1.2950            4342.148         1.3000            4118.859
         1.3050            3902.948         1.3100            3694.344         1.3150            3492.934
         1.3200            3298.531         1.3250            3111.084         1.3300            2930.434
         1.3350            2756.452         1.3400            2589.053         1.3450            2428.074
         1.3500            2273.422         1.3550            2124.961         1.3600            1982.572
         1.3650            1846.148         1.3700            1715.570         1.3750            1590.715
         1.3800            1471.472         1.3850            1357.732         1.3900            1249.383
         1.3950            1146.315         1.4000            1048.415         1.4050             955.580
         1.4100             867.709         1.4150             784.700         1.4200             706.450
1
         1.4250             632.859         1.4300             563.830         1.4350             499.268
         1.4400             439.077         1.4450             383.165         1.4500             331.442
         1.4550             283.819         1.4600             240.209         1.4650             200.533
         1.4700             164.748         1.4750             132.701         1.4800             104.313
         1.4850              79.508         1.4900              58.211         1.4950              40.348
         1.5000              25.845         1.5050              14.630         1.5100               6.632
